date,price
201301,3064
201302,3135
201303,3020
201304,3135
201305,2800
201306,2482
201307,2437
201308,3606
201309,3974
201310,2525
201311,1762
201312,2083
201401,2012
201402,1908
201403,1661
201404,1551
201405,1482
201406,1548
201407,2377
201408,3070
201409,2939
201410,2149
201411,1404
201412,1491
201501,1508
201502,1512
201503,1813
201504,2056
201505,2847
201506,3099
201507,2536
201508,2358
201509,2256
201510,2069
201511,1591
201512,1791
201601,1970
201602,2690
201603,3278
201604,3757
201605,3442
201606,2570
201607,2771
201608,4242
201609,6915
201610,4522
201611,2706
201612,2992
201701,3091
201702,3146
201703,3176
201704,2994
201705,2046
201706,2016
201707,3155
201708,5123
201709,5897
201710,3291
201711,1993
201712,2124
201801,2534
201802,3386
201803,3590
201804,3667
201805,2803
201806,2311
201807,3226
201808,5467
201809,5688
201810,3327
201811,2454
201812,2248
201901,2219
201902,2111
201903,1953
201904,1917
201905,1930
201906,2243
201907,2867
201908,3275
201909,4736
201910,5627
201911,3553
201912,3462
202001,3523
202002,3445
202003,3501
202004,3288
202005,3810
202006,3308
202007,3826
202008,5951
202009,8037
202010,5581
202011,2772
202012,2213
202101,2126
202102,2683
202103,3301
202104,3555
202105,2953
202106,2457
202107,2642
202108,3643
202109,4412
202110,3273
202111,3433
202112,3692
202201,3533
202202,3465
202203,3603
202204,3900
202205,3877
202206,3817
202207,5108
202208,6095
202209,8021
202210,5293
202211,3165
202212,2593
202301,2685
202302,2924
202303,3131
202304,3599
202305,3673
202306,3473
202307,3638
202308,5176
202309,5309
202310,5105
